IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
100470163,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,05/20/2010,22:22,RICHMOND,"ARREST, BOOKED",100 Block of 10TH AV,-122.468975014442,37.7855307336245,"(37.7855307336245, -122.468975014442)"
120477826,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,06/18/2012,10:24,RICHMOND,NONE,400 Block of 6TH AV,-122.464279879446,37.7800332991006,"(37.7800332991006, -122.464279879446)"
110911630,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,11/11/2011,22:18,TENDERLOIN,"ARREST, BOOKED",200 Block of GOLDEN GATE AV,-122.414263390372,37.7817569847968,"(37.7817569847968, -122.414263390372)"
140024811,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,01/09/2014,09:30,TARAVAL,NONE,LINCOLN WY / FUNSTON AV,-122.470728488949,37.7657375793742,"(37.7657375793742, -122.470728488949)"
060559774,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,05/26/2006,17:55,INGLESIDE,"ARREST, BOOKED",1300 Block of BOWDOIN ST,-122.407934351403,37.7194433534269,"(37.7194433534269, -122.407934351403)"
120755092,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,09/19/2012,18:20,NORTHERN,NONE,POLK ST / CALIFORNIA ST,-122.420691680792,37.7905770710537,"(37.7905770710537, -122.420691680792)"
050972170,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,08/29/2005,15:40,INGLESIDE,NONE,100 Block of OCEAN AV,-122.440458340998,37.7233296064439,"(37.7233296064439, -122.440458340998)"
081095125,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,10/13/2008,19:07,TARAVAL,NONE,500 Block of FONT BL,-122.480308682068,37.7202267519308,"(37.7202267519308, -122.480308682068)"
120457696,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,06/10/2012,15:20,TARAVAL,NONE,LINCOLN WY / 9TH AV,-122.466442684206,37.7659245297691,"(37.7659245297691, -122.466442684206)"
071031640,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,10/07/2007,22:32,INGLESIDE,UNFOUNDED,300 Block of SILVER AV,-122.429994074329,37.7285992928306,"(37.7285992928306, -122.429994074329)"
090546917,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,05/27/2009,10:45,MISSION,"ARREST, BOOKED",2700 Block of 24TH ST,-122.406813640773,37.7529905294566,"(37.7529905294566, -122.406813640773)"
140223950,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,03/16/2014,14:50,BAYVIEW,"ARREST, CITED",3RD ST / ARMSTRONG AV,-122.393573303211,37.7269797737306,"(37.7269797737306, -122.393573303211)"
060704816,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,06/27/2006,19:35,MISSION,NONE,0 Block of CUNNINGHAM PL,-122.421737619685,37.7592952658019,"(37.7592952658019, -122.421737619685)"
091012448,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,10/01/2009,08:45,NORTHERN,NONE,FULTON ST / FILLMORE ST,-122.431578618623,37.7777002216831,"(37.7777002216831, -122.431578618623)"
040330271,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,03/22/2004,04:57,RICHMOND,NONE,CALIFORNIA ST / 19TH AV,-122.478579568343,37.7841727004123,"(37.7841727004123, -122.478579568343)"
030185161,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,02/14/2003,21:39,PARK,"ARREST, BOOKED",1000 Block of SCOTT ST,-122.436863236818,37.7791795085094,"(37.7791795085094, -122.436863236818)"
140626990,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,07/28/2014,07:20,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452289660492,37.7256933575703,"(37.7256933575703, -122.452289660492)"
120671818,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,08/23/2012,14:00,TARAVAL,NONE,1200 Block of 8TH AV,-122.465240414978,37.7650118090951,"(37.7650118090951, -122.465240414978)"
040762232,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,07/04/2004,02:02,SOUTHERN,"ARREST, CITED",MASON ST / TURK ST,-122.408953598286,37.7832878735491,"(37.7832878735491, -122.408953598286)"
110899343,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,11/08/2011,11:30,RICHMOND,NONE,CALIFORNIA ST / BAKER ST,-122.443754546256,37.7876472426953,"(37.7876472426953, -122.443754546256)"
060904975,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,09/01/2006,09:12,BAYVIEW,NONE,1600 Block of EVANS AV,-122.38936916528,37.7435681500455,"(37.7435681500455, -122.38936916528)"
